2026-08-11 23:19:46 | WARNING  | src.ai_engine.llm_client:generate_analysis:45 - Gemini API hatası, Groq yedek sistemine geçiliyor: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.0-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-08-11 23:19:46 | INFO     | src.ai_engine.llm_client:generate_analysis:50 - NVDA için Groq API ile analiz başlatılıyor...
2026-08-11 23:19:48 | INFO     | src.ai_engine.llm_client:generate_analysis:61 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:19:48 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:24:15 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:24:15 | INFO     | __main__:test_full_chain:11 - === NVDA TAM ZİNCİR TESTİ BAŞLATILIYOR ===
2026-08-11 23:24:15 | INFO     | src.data_engine.fetcher:fetch_historical_data:16 - NVDA için 6mo sürelik veri çekiliyor...
2026-08-11 23:24:16 | INFO     | src.data_engine.fetcher:get_processed_data:74 - NVDA verileri ve indikatörleri başarıyla işlendi.
2026-08-11 23:24:17 | INFO     | src.ai_engine.llm_client:generate_analysis:31 - NVDA için Gemini API ile analiz başlatılıyor...
2026-08-11 23:24:18 | WARNING  | src.ai_engine.llm_client:generate_analysis:45 - Gemini API hatası, Groq yedek sistemine geçiliyor: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.0-flash is no longer available. Please update your code to use a newer model for the latest features and improvements. We recommend you to use the Interactions API (https://ai.google.dev/gemini-api/docs/migrate-to-interactions).', 'status': 'NOT_FOUND'}}
2026-08-11 23:24:18 | INFO     | src.ai_engine.llm_client:generate_analysis:50 - NVDA için Groq API ile analiz başlatılıyor...
2026-08-11 23:24:20 | INFO     | src.ai_engine.llm_client:generate_analysis:61 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:24:20 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:26:10 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:26:10 | INFO     | __main__:test_full_chain:11 - === NVDA TAM ZİNCİR TESTİ BAŞLATILIYOR ===
2026-08-11 23:26:10 | INFO     | src.data_engine.fetcher:fetch_historical_data:16 - NVDA için 6mo sürelik veri çekiliyor...
2026-08-11 23:26:11 | INFO     | src.data_engine.fetcher:get_processed_data:74 - NVDA verileri ve indikatörleri başarıyla işlendi.
2026-08-11 23:26:12 | INFO     | src.ai_engine.llm_client:generate_analysis:38 - NVDA için Gemini API ile analiz başlatılıyor...
2026-08-11 23:26:13 | WARNING  | src.ai_engine.llm_client:generate_analysis:52 - Gemini API hatası, Groq yedek sistemine geçiliyor: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.0-flash is no longer available. Please update your code to use a newer model for the latest features and improvements. We recommend you to use the Interactions API (https://ai.google.dev/gemini-api/docs/migrate-to-interactions).', 'status': 'NOT_FOUND'}}
2026-08-11 23:26:13 | INFO     | src.ai_engine.llm_client:generate_analysis:57 - NVDA için Groq API ile analiz başlatılıyor...
2026-08-11 23:26:14 | INFO     | src.ai_engine.llm_client:generate_analysis:68 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:26:14 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:33:34 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:38:40 | INFO     | src.data_engine.fetcher:fetch_historical_data:16 - NVDA için 6mo sürelik veri çekiliyor...
2026-08-11 23:38:41 | INFO     | src.data_engine.fetcher:get_processed_data:74 - NVDA verileri ve indikatörleri başarıyla işlendi.
2026-08-11 23:38:42 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-11 23:38:44 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:38:44 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:44:40 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:44:56 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:44:56 | INFO     | __main__:test_full_chain:11 - === NVDA TAM ZİNCİR TESTİ BAŞLATILIYOR ===
2026-08-11 23:44:59 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-11 23:45:00 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:45:00 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:56:27 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:56:30 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:56:31 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-11 23:56:33 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:56:34 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-11 23:56:57 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-11 23:56:58 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:56:59 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-11 23:57:01 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:57:03 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-11 23:59:11 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-11 23:59:13 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-11 23:59:14 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-11 23:59:15 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:00:21 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:00:21 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:00:22 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:00:22 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:00:24 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:00:24 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:00:24 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:00:24 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:00:32 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:00:32 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:00:33 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:00:33 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:00:35 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:00:35 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:00:35 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:00:35 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:01:51 | INFO     | src.risk_engine.portfolio:calculate_position:64 - MU için BALANCED risk hesabı tamamlandı: 5 Lot ($4342.6)
2026-08-12 00:01:52 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MU için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:01:53 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:01:54 | INFO     | src.data_engine.news:get_company_news:28 - MU için 4 haber başlığı çekildi.
2026-08-12 00:11:21 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-12 00:11:53 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-12 00:12:13 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-12 00:12:42 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:12:43 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:12:45 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:12:46 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:12:52 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 00:12:53 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
